Port,,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,
,P0_0,GPIO0_PIN0,CAN1_RD,FC3_SCK,CT0_MAT0,SCT0_GPI0,PDM0_CLK,,,,,,,,,,,
,P0_1,GPIO0_PIN1,CAN1_TD,FC3_CTS_SDA_SSEL0,CT0_CAP0,SCT0_GPI1,PDM0_DATA,,,,,,,,,,,
,P0_10,GPIO0_PIN10,FC6_SCK,CT2_CAP2,CT2_MAT0,FC1_TXD_SCL_MISO,,SWO,,,,,,,,,,ADC0_IN0
,P0_11,GPIO0_PIN11,FC6_RXD_SDA_MOSI_DATA,CT2_MAT2,FREQME_GPIO_CLK_A,,,SWCLK,,,,,,,,,,ADC0_IN1
,P0_12,GPIO0_PIN12,FC3_TXD_SCL_MISO,,FREQME_GPIO_CLK_B,SCT0_GPI7,,SWDIO,,,,,,,,,,ADC0_IN2
,P0_13,GPIO0_PIN13,FC1_CTS_SDA_SSEL0,UTICK_CAP0,CT0_CAP0,SCT0_GPI0,,,ENET_RXD0,,,,,,,,,
,P0_13,GPIO0_PIN13,FC1_CTS_SDA_SSEL0,UTICK_CAP0,CT0_CAP0,SCT0_GPI0,,,ENET_RXD0,,,,,,,,,
,P0_14,GPIO0_PIN14,FC1_RTS_SCL_SSEL1,UTICK_CAP1,CT0_CAP1,SCT0_GPI1,,,ENET_RXD1,,,,,,,,,
,P0_14,GPIO0_PIN14,FC1_RTS_SCL_SSEL1,UTICK_CAP1,CT0_CAP1,SCT0_GPI1,,,ENET_RXD1,,,,,,,,,
,P0_15,GPIO0_PIN15,FC6_CTS_SDA_SSEL0,UTICK_CAP2,CT4_CAP0,SCT0_OUT2,,EMC_WEN,ENET_TX_EN,,,,,,,,,ADC0_IN3
,P0_16,GPIO0_PIN16,FC4_TXD_SCL_MISO,CLKOUT,CT1_CAP0,,,EMC_CSN0,ENET_TXD0,,,,,,,,,ADC0_IN4
,P0_17,GPIO0_PIN17,FC4_SSEL2,SD_CARD_DET_N,SCT0_GPI7,SCT0_OUT0,,EMC_OEN,ENET_TXD1,,,,,,,,,
,P0_18,GPIO0_PIN18,FC4_CTS_SDA_SSEL0,SD_WR_PRT,CT1_MAT0,SCT0_OUT1,SCI1_SCLK,EMC_A0,,,,,,,,,,
,P0_19,GPIO0_PIN19,FC4_RTS_SCL_SSEL1,UTICK_CAP0,CT0_MAT2,SCT0_OUT2,,EMC_A1,FC7_TXD_SCL_MISO,,,,,,,,,
,P0_2,GPIO0_PIN2,FC3_TXD_SCL_MISO,CT0_CAP1,SCT0_OUT0,SCT0_GPI2,,EMC_D0,,,,,,,,,,
,P0_20,GPIO0_PIN20,FC3_CTS_SDA_SSEL0,CT1_MAT1,CT3_CAP3,SCT0_GPI2,SCI0_IO,EMC_A2,FC7_RXD_SDA_MOSI,,,,,,,,,
,P0_21,GPIO0_PIN21,FC3_RTS_SCL_SSEL1,UTICK_CAP3,CT3_MAT3,SCT0_GPI3,SCI0_SCLK,EMC_A3,FC7_SCK,,,,,,,,,
,P0_22,GPIO0_PIN22,FC6_TXD_SCL_MISO,UTICK_CAP1,CT3_CAP3,SCT0_OUT3,,,USB0_VBUS,,,,,,,,,
