PORT,NAME,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,ADC1,ADC2,ADC3,ACMP
,AD_B0_12,enet_RX_ER,lpspi1_SDO,lpuart3_CTS_B,kpp_COL2,flexpwm2_PWMA1,gpio1_PIN12,cm7_rt256_TRACE0,snvs_hp_VIO_5_CTL,,,,,,,,,ADC1_IN0,,,
,AD_B0_00,jtag_mux_TMS,,,,,gpio1_PIN0,anatop_USBPHY1_TSTI_TX_EN,gpt1_COMPARE1,,,,,,,,,,,,
,AD_B0_01,jtag_mux_TCK,,,,,gpio1_PIN1,anatop_USBPHY1_TSTI_TX_HIZ,gpt1_CAPTURE2,,,,,,,,,,,,
,AD_B0_02,jtag_mux_MOD,,,,,gpio1_PIN2,anatop_USBPHY1_TSTI_TX_LS_MODE,gpt1_CAPTURE1,,,,,,,,,,,,
,AD_B0_03,jtag_mux_TDI,usdhc2_CD_B,wdog1_WDOG_B,sai1_MCLK,usdhc1_WP,gpio1_PIN3,usb_OTG1_OC,ccm_PMIC_RDY,,,,,,,,,,,,
,AD_B0_04,jtag_mux_TDO,flexcan1_TX,usdhc1_WP,qtimer2_TIMER0,enet_MDIO,gpio1_PIN4,usb_OTG1_PWR,ewm_EWM_OUT_B,,,,,,,,,,,,
,AD_B0_05,jtag_mux_TRSTB,flexcan1_RX,usdhc1_CD_B,qtimer2_TIMER1,enet_MDC,gpio1_PIN5,anatop_OTG1_ID,nmi_glue_NMI,,,,,,,,,,,,
,AD_B0_06,pit_TRIGGER0,mqs_RIGHT,lpuart1_TX,qtimer2_TIMER2,flexpwm2_PWMA3,gpio1_PIN6,anatop_32K_OUT,tpsmp_LOAD_EN,,,,,,,,,,,,
,AD_B0_07,pit_TRIGGER1,mqs_LEFT,lpuart1_RX,qtimer2_TIMER3,flexpwm2_PWMB3,gpio1_PIN7,anatop_24M_OUT,observe_mux_OUT0,,,,,,,,,,,,
,AD_B0_08,enet_TX_CLK,lpi2c3_SCL,lpuart1_CTS_B,kpp_COL0,enet_REF_CLK1,gpio1_PIN8,cm7_rt256_TXEV,observe_mux_OUT1,,,,,,,,,,,,acmp1_IN4
,AD_B0_09,enet_RDATA1,lpi2c3_SDA,lpuart1_RTS_B,kpp_ROW0,csu_CSU_INT_DEB,gpio1_PIN9,cm7_rt256_RXEV,observe_mux_OUT2,,,,,,,,,,,,acmp2_IN4
,AD_B0_10,enet_RDATA0,lpspi1_SCK,lpuart5_TX,kpp_COL1,flexpwm2_PWMA2,gpio1_PIN10,cm7_rt256_TRACE_CLK,observe_mux_OUT3,,,,,,,,,,,,acmp3_IN4
,AD_B0_11,enet_RX_EN,lpspi1_PCS0,lpuart5_RX,kpp_ROW1,flexpwm2_PWMB2,gpio1_PIN11,cm7_rt256_TRACE_SWO,observe_mux_OUT4,,,,,,,,,,,,acmp4_IN4
,AD_B0_13,enet_TX_EN,lpspi1_SDI,lpuart3_RTS_B,kpp_ROW2,flexpwm2_PWMB1,gpio1_PIN13,cm7_rt256_TRACE1,snvs_hp_VIO_5_B,,,,,,,,,,ADC2_IN0,,
,AD_B0_14,enet_TDATA0,flexcan2_TX,lpuart3_TX,kpp_COL3,flexpwm2_PWMA0,gpio1_PIN14,cm7_rt256_TRACE2,wdog1_WDOG_ANY,,,,,,,,,ADC1_IN1,ADC2_IN1,,acmpx_IN0
,AD_B0_15,enet_TDATA1,flexcan2_RX,lpuart3_RX,kpp_ROW3,flexpwm2_PWMB0,gpio1_PIN15,cm7_rt256_TRACE3,ocotp_FUSE_LATCHED,,,,,,,,,ADC1_IN2,ADC2_IN2,,acmpx_IN1
,AD_B1_00,semc_RDY,flexspi_bus2bit_A_DATA3,flexcan2_TX,sai1_MCLK,flexio1_FLEXIO15,gpio1_PIN16,enet_1588_EVENT2_OUT,kpp_COL4,,,,,,,,,,,,acmp1_IN2
