PORT,NAME,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,ADC1,ADC2,ADC3,ACMP
,AD_B0_00,JTAG_MUX_TMS,,,,,GPIO1_PIN0,ANATOP_USBPHY1_TSTI_TX_EN,GPT1_COMPARE1,ANATOP_USBPHY1_TSTI_TX_EN,GPT1_COMPARE1,,,,,,,,,,
,AD_B0_01,JTAG_MUX_TCK,,,,,GPIO1_PIN1,ANATOP_USBPHY1_TSTI_TX_HIZ,GPT1_CAPTURE2,ANATOP_USBPHY1_TSTI_TX_HIZ,GPT1_CAPTURE2,,,,,,,,,,
,AD_B0_02,JTAG_MUX_MOD,,,,,GPIO1_PIN2,ANATOP_USBPHY1_TSTI_TX_LS_MODE,GPT1_CAPTURE1,ANATOP_USBPHY1_TSTI_TX_LS_MODE,GPT1_CAPTURE1,,,,,,,,,,
,AD_B0_03,JTAG_MUX_TDI,USDHC2_CD_B,WDOG1_WDOG_B,SAI1_MCLK,USDHC1_WP,GPIO1_PIN3,USB_OTG1_OC,CCM_PMIC_RDY,USB_OTG1_OC,CCM_PMIC_RDY,,,,,,,,,,
,AD_B0_04,JTAG_MUX_TDO,FLEXCAN1_TX,USDHC1_WP,QTIMER2_TIMER0,ENET_MDIO,GPIO1_PIN4,USB_OTG1_PWR,EWM_EWM_OUT_B,USB_OTG1_PWR,EWM_EWM_OUT_B,,,,,,,,,,
,AD_B0_05,JTAG_MUX_TRSTB,FLEXCAN1_RX,USDHC1_CD_B,QTIMER2_TIMER1,ENET_MDC,GPIO1_PIN5,ANATOP_OTG1_ID,NMI_GLUE_NMI,ANATOP_OTG1_ID,NMI_GLUE_NMI,,,,,,,,,,
,AD_B0_06,PIT_TRIGGER0,MQS_RIGHT,LPUART1_TX,QTIMER2_TIMER2,FLEXPWM2_PWMA3,GPIO1_PIN6,ANATOP_32K_OUT,TPSMP_LOAD_EN,ANATOP_32K_OUT,TPSMP_LOAD_EN,,,,,,,,,,
,AD_B0_07,PIT_TRIGGER1,MQS_LEFT,LPUART1_RX,QTIMER2_TIMER3,FLEXPWM2_PWMB3,GPIO1_PIN7,ANATOP_24M_OUT,OBSERVE_MUX_OUT0,ANATOP_24M_OUT,OBSERVE_MUX_OUT0,,,,,,,,,,
,AD_B0_08,ENET_TX_CLK,LPI2C3_SCL,LPUART1_CTS_B,KPP_COL0,ENET_REF_CLK1,GPIO1_PIN8,CM7_RT256_TXEV,OBSERVE_MUX_OUT1,CM7_RT256_TXEV,OBSERVE_MUX_OUT1,,,,,,,,,,ACMP1_IN4
,AD_B0_09,ENET_RDATA1,LPI2C3_SDA,LPUART1_RTS_B,KPP_ROW0,CSU_CSU_INT_DEB,GPIO1_PIN9,CM7_RT256_RXEV,OBSERVE_MUX_OUT2,CM7_RT256_RXEV,OBSERVE_MUX_OUT2,,,,,,,,,,ACMP2_IN4
,AD_B0_10,ENET_RDATA0,LPSPI1_SCK,LPUART5_TX,KPP_COL1,FLEXPWM2_PWMA2,GPIO1_PIN10,CM7_RT256_TRACE_CLK,OBSERVE_MUX_OUT3,CM7_RT256_TRACE_CLK,OBSERVE_MUX_OUT3,,,,,,,,,,ACMP3_IN4
,AD_B0_11,ENET_RX_EN,LPSPI1_PCS0,LPUART5_RX,KPP_ROW1,FLEXPWM2_PWMB2,GPIO1_PIN11,CM7_RT256_TRACE_SWO,OBSERVE_MUX_OUT4,CM7_RT256_TRACE_SWO,OBSERVE_MUX_OUT4,,,,,,,,,,ACMP4_IN4
,AD_B0_12,ENET_RX_ER,LPSPI1_SDO,LPUART3_CTS_B,KPP_COL2,FLEXPWM2_PWMA1,GPIO1_PIN12,CM7_RT256_TRACE0,SNVS_HP_VIO_5_CTL,CM7_RT256_TRACE0,SNVS_HP_VIO_5_CTL,,,,,,,ADC1_IN0,,,
,AD_B0_13,ENET_TX_EN,LPSPI1_SDI,LPUART3_RTS_B,KPP_ROW2,FLEXPWM2_PWMB1,GPIO1_PIN13,CM7_RT256_TRACE1,SNVS_HP_VIO_5_B,CM7_RT256_TRACE1,SNVS_HP_VIO_5_B,,,,,,,,ADC2_IN0,,
,AD_B0_14,ENET_TDATA0,FLEXCAN2_TX,LPUART3_TX,KPP_COL3,FLEXPWM2_PWMA0,GPIO1_PIN14,CM7_RT256_TRACE2,WDOG1_WDOG_ANY,CM7_RT256_TRACE2,WDOG1_WDOG_ANY,,,,,,,ADC1_IN1,ADC2_IN1,,ACMPX_IN0
,AD_B0_15,ENET_TDATA1,FLEXCAN2_RX,LPUART3_RX,KPP_ROW3,FLEXPWM2_PWMB0,GPIO1_PIN15,CM7_RT256_TRACE3,OCOTP_FUSE_LATCHED,CM7_RT256_TRACE3,OCOTP_FUSE_LATCHED,,,,,,,ADC1_IN2,ADC2_IN2,,ACMPX_IN1
,AD_B1_00,SEMC_RDY,FLEXSPI_BUS2BIT_A_DATA3,FLEXCAN2_TX,SAI1_MCLK,FLEXIO1_FLEXIO15,GPIO1_PIN16,ENET_1588_EVENT2_OUT,KPP_COL4,ENET_1588_EVENT2_OUT,KPP_COL4,,,,,,,,,,ACMP1_IN2
,AD_B1_01,SEMC_CSX0,FLEXSPI_BUS2BIT_A_SCLK,FLEXCAN2_RX,SAI1_TX_BCLK,FLEXIO1_FLEXIO14,GPIO1_PIN17,ENET_1588_EVENT2_IN,KPP_ROW4,ENET_1588_EVENT2_IN,KPP_ROW4,,,,,,,ADC1_IN3,,,ACMP2_IN2
,AD_B1_02,SEMC_CSX1,FLEXSPI_BUS2BIT_A_DATA0,LPSPI4_SCK,SAI1_TX_SYNC,FLEXIO1_FLEXIO13,GPIO1_PIN18,ENET_1588_EVENT3_OUT,KPP_COL5,ENET_1588_EVENT3_OUT,KPP_COL5,,,,,,,,ADC2_IN3,,ACMP3_IN2
,AD_B1_03,SEMC_CSX2,FLEXSPI_BUS2BIT_A_DATA2,LPSPI4_PCS0,SAI1_TX_DATA0,FLEXIO1_FLEXIO12,GPIO1_PIN19,ENET_1588_EVENT3_IN,KPP_ROW5,ENET_1588_EVENT3_IN,KPP_ROW5,,,,,,,ADC1_IN4,,,ACMP4_IN2
,AD_B1_04,SEMC_CSX3,FLEXSPI_BUS2BIT_A_DATA1,LPSPI4_SDO,SAI1_RX_SYNC,FLEXIO1_FLEXIO11,GPIO1_PIN20,LPSPI1_PCS1,KPP_COL6,LPSPI1_PCS1,KPP_COL6,,,,,,,,ADC2_IN4,,ACMP1_IN3
,AD_B1_05,USDHC1_WP,FLEXSPI_BUS2BIT_A_SS0_B,LPSPI4_SDI,SAI1_RX_DATA0,FLEXIO1_FLEXIO10,GPIO1_PIN21,LPSPI1_PCS2,KPP_ROW6,LPSPI1_PCS2,KPP_ROW6,,,,,,,ADC1_IN5,ADC2_IN5,,ACMP2_IN3
